Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","17,189.50","17,189.50","17,071.05","17,176.95","138.55","0.81","1,402.79","13,244.00","18,604.45","14,416.25","17.22","-0.26"
"HINDUNILVR","2,230.00","2,244.70","2,165.00","2,231.30","86.20","4.02","35.45","782.57","2,859.30","1,901.55","-6.24","12.97"
"ASIANPAINT","3,190.00","3,238.90","3,170.00","3,234.60","86.25","2.74","9.31","299.14","3,590.00","2,505.60","25.65","6.84"
"UPL","814.25","819.80","804.25","818.00","19.60","2.45","21.98","179.12","864.70","589.40","36.92","4.77"
"LT","1,690.00","1,720.90","1,680.00","1,717.50","40.45","2.41","11.62","197.26","2,078.55","1,319.15","24.40","-1.38"
"RELIANCE","2,809.95","2,837.90","2,786.10","2,837.05","58.70","2.11","54.40","1,530.49","2,837.90","1,906.00","42.66","8.20"
"INFY","1,570.00","1,585.00","1,557.45","1,584.70","31.90","2.05","33.83","531.25","1,953.90","1,311.30","17.52","-15.43"
"HDFCLIFE","550.90","561.70","546.50","558.15","10.50","1.92","106.01","588.27","775.65","497.05","-17.77","8.89"
"SBILIFE","1,068.50","1,095.75","1,066.40","1,093.30","19.10","1.78","5.75","62.12","1,293.25","914.15","17.72","1.51"
"NESTLEIND","18,238.50","18,500.00","18,175.05","18,500.00","277.00","1.52","0.27","49.93","20,609.15","16,255.00","10.26","9.73"
"JSWSTEEL","729.85","731.00","722.65","730.10","9.50","1.32","16.04","116.66","790.00","566.00","9.64","0.00"
"POWERGRID","233.40","233.40","230.05","231.95","2.65","1.16","63.98","148.16","239.90","160.13","7.06","9.26"
"TATACONSUM","810.85","810.85","799.60","807.70","9.10","1.14","7.46","60.04","889.00","614.00","19.89","8.96"
"ITC","259.50","260.50","258.15","260.05","2.55","0.99","112.35","291.61","273.15","199.10","26.61","1.17"
"EICHERMOT","2,683.95","2,704.00","2,666.00","2,680.40","24.95","0.94","3.86","103.60","2,994.00","2,159.55","11.68","12.62"
"MARUTI","7,844.00","7,928.85","7,766.70","7,848.50","60.10","0.77","2.78","218.33","9,050.00","6,400.00","19.48","4.96"
"SUNPHARMA","920.00","927.35","909.30","912.50","6.40","0.71","13.16","120.92","948.00","632.00","42.75","0.73"
"ICICIBANK","739.10","742.40","734.65","741.90","5.20","0.71","80.72","596.47","867.00","584.70","23.91","4.44"
"KOTAKBANK","1,749.00","1,754.95","1,732.40","1,753.40","11.90","0.68","6.84","119.12","2,253.00","1,626.00","0.18","1.63"
"TATAMOTORS","434.80","436.00","430.80","433.05","2.80","0.65","59.78","258.62","536.70","268.45","43.63","0.08"
