"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 12-Apr-2021","30 D % CHNG 
 11-Mar-2022"
"NIFTY 50","17,009.05","17,054.30","16,928.60","17,171.95","17,018.95","-153.00","-0.89",84061487,"72,635,689,517.17","18,604.45","14,416.25","19.74","0.11"
"ICICIBANK","747.65","762.20","744.00","747.65","761.50","13.85","1.85",17989952,"13,594,287,128.32","867.00","546.90","31.18","6.92"
"BAJAJ-AUTO","3,602.00","3,724.75","3,600.00","3,642.50","3,701.05","58.55","1.61",139729,"516,654,963.95","4,347.00","3,027.05","-0.82","-0.32"
"HEROMOTOCO","2,268.30","2,332.95","2,266.00","2,294.25","2,318.00","23.75","1.04",249733,"578,773,708.81","3,090.00","2,146.85","-19.89","-3.54"
"MARUTI","7,810.00","7,990.00","7,810.00","7,904.50","7,970.30","65.80","0.83",252893,"2,006,463,177.72","9,050.00","6,400.00","18.40","6.60"
"AXISBANK","772.00","788.80","761.25","780.60","786.70","6.10","0.78",2531436,"1,973,203,733.28","866.90","634.40","16.27","8.23"
"EICHERMOT","2,610.00","2,650.00","2,580.00","2,631.50","2,643.00","11.50","0.44",207223,"546,347,583.96","2,994.00","2,159.55","13.56","12.61"
"M&M","914.35","928.00","906.10","920.65","920.10","-0.55","-0.06",2343659,"2,161,205,146.85","979.00","671.15","18.35","20.39"
"POWERGRID","223.95","226.90","223.45","225.45","225.05","-0.40","-0.18",1656398,"372,490,782.24","239.90","150.90","6.77","7.54"
"KOTAKBANK","1,702.50","1,733.55","1,694.00","1,727.75","1,722.25","-5.50","-0.32",582919,"996,832,294.33","2,253.00","1,626.00","-0.37","0.32"
"HDFCBANK","1,350.00","1,361.35","1,322.25","1,355.60","1,350.50","-5.10","-0.38",3562028,"4,780,384,057.12","1,725.00","1,292.00","-4.14","-5.26"
"BHARTIARTL","729.95","738.65","729.15","738.75","734.90","-3.85","-0.52",707318,"518,923,850.70","781.80","513.56","41.36","4.14"
"ADANIPORTS","873.95","880.95","863.10","874.15","869.45","-4.70","-0.54",4133688,"3,602,715,776.40","901.00","638.10","20.51","17.61"
"SHREECEM","25,700.50","25,798.95","25,515.00","25,855.25","25,699.95","-155.30","-0.60",5595,"143,307,364.65","31,469.95","21,650.00","-8.01","11.16"
"SBIN","495.00","497.70","490.05","500.60","497.00","-3.60","-0.72",4965272,"2,454,085,686.00","549.00","323.30","48.79","2.02"
"RELIANCE","2,742.40","2,758.40","2,711.15","2,758.80","2,738.70","-20.10","-0.73",2110193,"5,778,383,695.76","2,802.00","1,876.70","44.87","6.28"
"NESTLEIND","17,900.00","18,100.00","17,850.10","18,187.75","18,050.00","-137.75","-0.76",9150,"164,418,637.50","20,609.15","16,255.00","9.40","5.98"
"BAJAJFINSV","15,350.00","15,400.00","15,200.00","15,454.20","15,336.45","-117.75","-0.76",62251,"951,525,210.30","19,325.00","9,610.00","55.84","-5.38"
"HDFC","2,187.90","2,198.00","2,156.00","2,206.40","2,189.00","-17.40","-0.79",858897,"1,870,016,315.31","3,021.10","2,046.00","-11.65","-4.19"
"INDUSINDBK","945.00","954.00","931.00","959.85","952.00","-7.85","-0.82",751416,"707,668,560.48","1,242.00","811.50","12.92","3.63"
"CIPLA","957.10","963.00","952.00","967.00","957.00","-10.00","-1.03",326048,"311,812,744.32","1,083.00","850.00","3.36","-4.59"
"GRASIM","1,688.00","1,705.85","1,685.00","1,716.85","1,698.25","-18.60","-1.08",139653,"236,544,251.40","1,929.80","1,262.00","34.33","7.91"
"ASIANPAINT","3,134.00","3,139.95","3,095.10","3,164.40","3,128.85","-35.55","-1.12",254800,"793,763,152.00","3,590.00","2,488.00","25.67","3.85"
"BAJFINANCE","7,000.00","7,074.95","6,950.00","7,110.75","7,027.65","-83.10","-1.17",242615,"1,699,362,801.40","8,050.00","4,505.75","52.34","1.97"
"UPL","805.00","808.95","797.25","816.55","807.00","-9.55","-1.17",371187,"297,866,431.89","864.70","581.30","39.49","2.25"
"DRREDDY","4,150.00","4,179.70","4,122.05","4,192.75","4,136.30","-56.45","-1.35",70561,"292,437,242.06","5,614.60","3,654.00","-17.25","-3.87"
"HCLTECH","1,096.90","1,096.90","1,077.30","1,102.05","1,086.65","-15.40","-1.40",869515,"943,588,982.85","1,377.75","891.00","15.32","-6.55"
"ULTRACEMCO","6,694.00","6,713.05","6,626.05","6,744.10","6,647.10","-97.00","-1.44",51215,"340,901,892.35","8,269.00","5,629.20","11.14","6.83"
"TATAMOTORS","432.75","436.00","428.50","438.85","432.50","-6.35","-1.45",4116510,"1,778,620,475.70","536.70","268.45","49.27","1.56"
"DIVISLAB","4,440.00","4,474.95","4,404.35","4,492.50","4,427.10","-65.40","-1.46",62880,"278,619,393.60","5,425.10","3,739.00","18.86","0.86"
"ONGC","171.00","173.00","170.75","174.00","171.45","-2.55","-1.47",3136012,"538,704,141.36","194.95","101.60","69.92","-1.02"
"INFY","1,572.80","1,572.80","1,554.10","1,585.45","1,561.95","-23.50","-1.48",1609810,"2,511,545,071.50","1,953.90","1,311.30","18.87","-15.51"
"HDFCLIFE","552.00","552.00","543.00","554.05","545.80","-8.25","-1.49",628264,"342,963,034.96","775.65","497.05","-19.28","6.64"
"SUNPHARMA","915.55","922.35","906.25","924.80","910.95","-13.85","-1.50",302158,"275,737,304.48","948.00","630.15","44.96","2.49"
"LT","1,675.00","1,675.00","1,652.80","1,694.35","1,668.90","-25.45","-1.50",504370,"840,224,939.30","2,078.55","1,307.25","28.08","-3.24"
"TITAN","2,471.00","2,489.00","2,455.15","2,512.70","2,474.35","-38.35","-1.53",213793,"528,002,434.17","2,768.00","1,400.05","71.93","-0.44"
"TCS","3,558.00","3,568.85","3,533.10","3,612.55","3,551.90","-60.65","-1.68",464573,"1,649,136,589.67","4,043.00","3,004.00","16.18","-2.56"
"NTPC","158.60","160.90","157.35","160.45","157.70","-2.75","-1.71",2838044,"451,163,854.68","166.35","97.05","56.46","19.07"
"HINDALCO","502.65","508.50","497.35","514.15","504.65","-9.50","-1.85",3028453,"1,524,008,403.19","636.00","345.30","47.11","-17.43"
"WIPRO","529.95","530.95","525.05","537.70","527.15","-10.55","-1.96",1465450,"772,775,748.50","739.85","471.60","13.03","-10.88"
"ITC","258.80","259.00","254.75","261.10","255.85","-5.25","-2.01",3951057,"1,015,816,754.70","273.15","199.10","27.15","3.06"
"TATACONSUM","802.00","809.90","795.15","815.60","798.90","-16.70","-2.05",259774,"208,312,770.60","889.00","614.00","22.72","11.22"
"APOLLOHOSP","4,765.60","4,765.60","4,608.35","4,813.70","4,714.00","-99.70","-2.07",172088,"808,669,046.08","5,935.40","3,095.35","50.43","2.79"
"SBILIFE","1,120.00","1,129.20","1,109.95","1,137.25","1,112.70","-24.55","-2.16",171766,"192,003,470.12","1,293.25","895.05","23.23","4.09"
"HINDUNILVR","2,100.00","2,100.00","2,047.00","2,126.95","2,080.00","-46.95","-2.21",659782,"1,365,544,207.58","2,859.30","1,901.55","-7.83","8.91"
"TECHM","1,295.00","1,297.95","1,268.60","1,306.50","1,273.45","-33.05","-2.53",800901,"1,022,958,811.26","1,838.00","937.00","37.50","-14.64"
"BRITANNIA","3,280.00","3,280.00","3,132.05","3,364.10","3,271.25","-92.85","-2.76",240045,"777,085,676.25","4,153.00","3,050.00","-7.84","8.71"
"JSWSTEEL","711.00","711.35","695.25","723.40","703.40","-20.00","-2.76",1423313,"1,000,731,370.30","790.00","566.00","13.85","0.28"
"TATASTEEL","1,250.00","1,262.95","1,225.20","1,277.55","1,240.45","-37.10","-2.90",2785133,"3,460,861,968.46","1,534.50","897.05","38.02","-4.59"
"COALINDIA","199.65","202.20","195.55","202.15","195.60","-6.55","-3.24",5798383,"1,153,878,217.00","209.00","124.00","60.25","8.62"
"BPCL","385.00","385.95","373.20","393.40","373.20","-20.20","-5.13",3983584,"1,504,360,661.76","503.00","331.10","-7.01","9.19"
